t,y,vy,ay
9.462156E0,-3.396158E-1,-6.319671E-2,1.989421E-1
9.478844E0,-3.405919E-1,-4.764997E-2,-5.626091E-3
9.495533E0,-3.412063E-1,-5.794374E-2,-1.828123E-1
9.512222E0,-3.425259E-1,-6.355327E-2,-5.453912E-2
9.528911E0,-3.433276E-1,-5.177719E-2,5.321183E-1
9.545600E0,-3.442541E-1,-4.988382E-2,2.212722E-1
9.562289E0,-3.449926E-1,-4.249677E-2,-2.024683E-1
9.578978E0,-3.456726E-1,-5.492153E-2,-5.078664E-1
9.595667E0,-3.468257E-1,-6.441715E-2,-2.221675E-1
9.612356E0,-3.478227E-1,-5.907000E-2,1.639200E-1
9.629044E0,-3.487974E-1,-5.931760E-2,3.550270E-1
9.645722E0,-3.498019E-1,-4.916850E-2,-4.816797E-3
9.662411E0,-3.504380E-1,-5.391818E-2,2.599147E-1
9.679100E0,-3.516016E-1,-4.946704E-2,1.083464E-2
9.695789E0,-3.520891E-1,-4.347285E-2,-1.878953E-1
9.712478E0,-3.530526E-1,-6.208643E-2,-3.802885E-1
9.729167E0,-3.541614E-1,-5.675437E-2,3.688256E-1
9.745856E0,-3.549469E-1,-4.647366E-2,-4.020480E-2
9.762544E0,-3.557125E-1,-5.762923E-2,-1.675534E-1
9.779233E0,-3.568705E-1,-5.724428E-2,-2.800786E-1
9.795922E0,-3.576232E-1,-5.973948E-2,4.180683E-1
9.812611E0,-3.588644E-1,-5.235157E-2,1.685398E-1
9.829300E0,-3.593706E-1,-4.380602E-2,2.319413E-2
9.845989E0,-3.603266E-1,-5.841255E-2,-2.314975E-1
9.862678E0,-3.613203E-1,-5.113192E-2,-1.000666E-1
9.879367E0,-3.620333E-1,-5.714791E-2,-8.945937E-2
9.896044E0,-3.632271E-1,-6.096774E-2,-1.162239E-1
9.912733E0,-3.640676E-1,-5.522773E-2,-1.325178E-2
9.929422E0,-3.650705E-1,-6.376889E-2,-8.937433E-2
9.946111E0,-3.661960E-1,-5.967399E-2,-8.264146E-2
9.962800E0,-3.670623E-1,-6.229900E-2,3.296520E-2
9.979489E0,-3.682754E-1,-6.390720E-2,7.542715E-2
9.996178E0,-3.691954E-1,-5.570423E-2,3.836191E-2
1.001287E1,-3.701347E-1,-6.307721E-2,-1.491980E-1
1.002956E1,-3.713007E-1,-6.345774E-2,-1.006101E-1
1.004624E1,-3.722528E-1,-6.280975E-2,2.490656E-1
1.006293E1,-3.733972E-1,-5.906549E-2,9.299884E-2
1.007962E1,-3.742243E-1,-5.533969E-2,-1.060450E-2
1.009631E1,-3.752443E-1,-6.228691E-2,-1.635442E-1
1.011299E1,-3.763026E-1,-6.070687E-2,-1.116958E-1
1.012968E1,-3.772699E-1,-6.416531E-2,3.118889E-1
1.014637E1,-3.784443E-1,-5.468204E-2,2.979509E-1
1.016306E1,-3.790951E-1,-4.762061E-2,4.830409E-3
1.017974E1,-3.800337E-1,-5.885312E-2,-1.680505E-1
1.019643E1,-3.810595E-1,-5.383272E-2,1.708319E-2
1.021312E1,-3.818305E-1,-5.453990E-2,1.795114E-1
1.022981E1,-3.828799E-1,-5.275788E-2,-1.700060E-2
1.024650E1,-3.835915E-1,-4.997751E-2,-2.250939E-1
1.026319E1,-3.845480E-1,-6.300059E-2,-3.423389E-1
1.027988E1,-3.856943E-1,-6.281853E-2,5.282916E-2
1.029657E1,-3.866448E-1,-5.852383E-2,2.417860E-1
1.031326E1,-3.876477E-1,-5.654354E-2,1.964084E-1
1.032994E1,-3.885321E-1,-5.101097E-2,-2.544782E-1
1.034663E1,-3.893503E-1,-6.300458E-2,-4.430601E-2
1.036331E1,-3.906343E-1,-5.930022E-2,-2.041986E-1
1.038000E1,-3.913290E-1,-6.011783E-2,3.223998E-1
1.039669E1,-3.926409E-1,-5.911394E-2,2.143645E-1
1.041338E1,-3.933021E-1,-4.410906E-2,2.570148E-1
1.043007E1,-3.941132E-1,-5.385338E-2,-3.243746E-1
1.044676E1,-3.950996E-1,-5.620906E-2,-1.295583E-1
1.046344E1,-3.959893E-1,-5.618858E-2,-4.110624E-2
1.048013E1,-3.969750E-1,-5.884797E-2,-1.682870E-1
1.049682E1,-3.979535E-1,-6.099481E-2,-5.210727E-2
1.051351E1,-3.990109E-1,-6.155190E-2,3.868365E-1
1.053020E1,-4.000080E-1,-4.879347E-2,4.141952E-2
1.054689E1,-4.006395E-1,-5.486656E-2,-2.318869E-1
1.056358E1,-4.018393E-1,-6.407806E-2,3.331707E-1
1.058027E1,-4.027783E-1,-4.122968E-2,2.353305E-1
1.059696E1,-4.032155E-1,-4.970619E-2,-3.320539E-1
1.061363E1,-4.044368E-1,-6.269286E-2,-4.975560E-1
1.063032E1,-4.053073E-1,-5.895965E-2,4.342342E-1
1.064701E1,-4.064048E-1,-5.339455E-2,-2.954418E-1
1.066370E1,-4.070895E-1,-6.140526E-2,2.029836E-2
1.068039E1,-4.084544E-1,-6.299002E-2,1.707645E-1
1.069708E1,-4.091920E-1,-4.702207E-2,8.764777E-2
1.071377E1,-4.100238E-1,-6.184215E-2,-3.079125E-1
1.073046E1,-4.112561E-1,-6.201293E-2,3.850145E-1
1.074714E1,-4.120937E-1,-4.468488E-2,-2.979346E-2
1.076383E1,-4.127476E-1,-6.013175E-2,-4.985050E-1
1.078052E1,-4.141008E-1,-6.971874E-2,-2.763895E-1
1.079721E1,-4.150747E-1,-6.252261E-2,2.985905E-1
1.081390E1,-4.161876E-1,-6.310534E-2,6.650919E-2
1.083058E1,-4.171803E-1,-5.879806E-2,2.054316E-2
1.084727E1,-4.181495E-1,-6.213396E-2,-6.158086E-2
1.086396E1,-4.192542E-1,-6.260472E-2,3.647656E-3
1.088064E1,-4.202391E-1,-6.023448E-2,3.239379E-1
1.089733E1,-4.212647E-1,-5.375177E-2,-1.436202E-2
1.091402E1,-4.220332E-1,-5.701198E-2,3.151792E-1
1.093059E1,-4.231606E-1,-4.992169E-2,2.099670E-1
1.094740E1,-4.236995E-1,-4.170264E-2,-7.850378E-2
1.096409E1,-4.245577E-1,-5.699693E-2,-4.432801E-1
1.098078E1,-4.256019E-1,-5.763733E-2,-4.786618E-2
1.099747E1,-4.264815E-1,-5.592679E-2,-1.567726E-1
1.101416E1,-4.274687E-1,-6.382879E-2,-8.443191E-2
